date;15.11.2009;22.11.2009;29.11.2009;06.12.2009;13.12.2009;20.12.2009;27.12.2009;10.01.2010;17.01.2010;24.01.2010;31.01.2010;07.02.2010;14.02.2010;21.02.2010;28.02.2010;07.03.2010;14.03.2010;21.03.2010;28.03.2010;04.04.2010;11.04.2010;18.04.2010;25.04.2010;16.05.2010;18.05.2010;23.05.2010;30.05.2010;06.06.2010;13.06.2010;20.06.2010;27.06.2010;04.07.2010;11.07.2010;18.07.2010;25.07.2010;01.08.2010;08.08.2010;15.08.2010;22.08.2010;29.08.2010;05.09.2010;12.09.2010;19.09.2010;26.09.2010;03.10.2010;10.10.2010;17.10.2010;24.10.2010;31.10.2010;07.11.2010;14.11.2010;21.11.2010;28.11.2010;05.12.2010;12.12.2010;19.12.2010;26.12.2010;16.01.2011;23.01.2011;30.01.2011;06.02.2011;13.02.2011;20.02.2011;27.02.2011;06.03.2011;13.03.2011;20.03.2011;27.03.2011;03.04.2011;10.04.2011;17.04.2011;24.04.2011;01.05.2011;15.05.2011;22.05.2011;29.05.2011;05.06.2011;12.06.2011;19.06.2011;26.06.2011;03.07.2011;10.07.2011;17.07.2011;24.07.2011;31.07.2011
Medvedev;62.5;60.7;61.9;62.2;64.5;62.8;64.7;64.1;64.2;63;64.1;60.4;63.8;62.6;61.8;63.3;62.1;63.2;64.6;66.2;62.7;62.3;62.5;64.9;;64.5;63.1;60.5;62.9;60.6;62.9;62;63.8;61.1;62.9;60.4;62.4;62.3;60.8;63.5;62.5;61.8;62.8;60.2;61.6;63.4;61.7;62.2;64.3;62.6;63;61.5;61.7;64;61.8;62.1;62.1;62.5;62.4;61.6;58;58.8;59.6;60.4;59.4;58.6;57.9;58.7;59.2;56;56.4;56.1;57.2;55.5;55.3;56.4;52.2;56.1;53.5;54.1;54.1;52.7;54;53.9;54.2
Putin;67.7;65.2;66.3;67.2;67.9;66;67.8;66.4;67.7;66.4;67.1;63.2;67.2;65.6;65.3;65.5;66.9;66.3;67.2;68.9;66.6;66;66.3;66.8;;68;66.2;63.5;66.1;65.4;66.7;65.5;66.8;65.2;65.4;66.7;66.3;66.9;63.6;67.2;66.6;68.8;66.7;68;65.3;66.6;64.9;64.3;66.6;65.8;64.7;66.6;64.5;69.5;65;66.2;65;66.2;65.3;65.7;62.7;61.6;62.9;63.1;62.8;61.2;61.7;62.3;62.1;59.4;59.8;59.8;60.9;60.2;58.4;59.8;57;59.1;56.7;56.9;57;57.3;57.8;57.8;57.0
RostZen;;;87.9;;;;;;89.2;;;;;;90.5;;;;;;87.3;;;;;;;80.1;;;;;;83.4;;;;;90.9;;;92.3;91.1;88.7;90.8;90.6;88.4;;;;;;;92.4;93.1;93.8;;94.2;;;94.9;94.7;95.2;;93.7;93.4;92.7;93.5;93.3;93.4;93.1;93.1;93.2;93.6;91.7;91.7;91.7;90.7;90.8;88.4;88.7;89.9;90.3;;88.3
Protest;;;;;;;;;;;;;;;;;30.1;;;;28.3;;;;;29;;;;32;;;;29.2;;;;29.2;;;;29.5;28.4;28.1;;27.6;27.5;26.9;25.9;26.7;29.4;31.3;30.9;29.1;28.6;28.7;28.3;32.6;33.7;32.3;35.6;38.7;39.5;35.7;34;31.9;31.5;32.8;31.6;33.9;31.4;33.8;34.1;32;33.2;33.8;31.6;32.5;32;32.5;32.3;31.8;32.1;29.6;31.4
PrestijRus;;;;;;;;;;;;;;;;55.8;;;;;;;63.9;;;;;;;;63;;;;;;;;;;;;;;;;;62.7;;;;;;;;;;;;;;58.3;;;;;;;;;;;55.8;;;;;;;;;;;55.7;
RusEconomica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.1;;;;47.5;;;;44.2;;;;46.1;;;;46.2;;;;46.5;;;;44.2;;;;44.3;;;;41.9;;;40.2;;;;;;;;;;;;;;;;;;41.9;;;
Edinaya_Rossia;;;;;;;;;;;;;;;;;;;55.3;;;;56.5;;;;;53.3;;;;56.1;;;;54.4;;;;58.1;;;;55.6;;;;55;;;;54.8;;;;55.5;;;55;;;;52.5;;;;;;;;47.6;;;;;48.3;47.5;48.5;;;50.2;;52.6;;
Spravedlivaya_Rossia;;;;;;;;;;;;;;;;;;47;;;;47.3;;;;;45.5;;;;45.6;;;;44.7;;;;45.9;;;;45.5;;;;43.7;;;;45.1;;;;46.7;;;;;;44.5;;;;;;;;;45;;;;;;;;45.3;;;;;;;
KPRF;;;;;;;;;;;;;;;;;42.3;;;43.2;;;;41.4;;;;;42;;;;40.8;;;;39.6;;;;40.2;;;;40.1;;;;42.2;;;;41.8;;;;;40.9;;;;39.4;;;;;;38.4;;;;;;;;41.5;;;;;;;;;
LDPR;;;;;;;;;;;;;;;;;;36.6;;;37.2;;;;;39.3;;;;38.6;;;;38.6;;;;36.9;;;;36.1;;;;37.3;;;;37.6;;;;38.9;;;;38.2;;37.7;;;;37.1;;;;;39.6;;;;;;;;38.9;;;;;;;;40.3
Pravitelstvo_RF;;;;;;;;;;;;;;;;;;52;;;;;55;;;;;;53.5;;;;;51.3;;;;;53.8;;;;;52.3;;;;;;55.3;;;;;53.8;;;;;;;48.9;;;;;;;49.6;;;;;;;;39.6;;;;;;;;49.6
Gos_Duma;;;;;;;;;;;;;;;;;;;41;;;;;;42;;;;;39;;;;;42;;;;;42;;;;;40;;;;;;42;;;;;;;39;;41;;;;;44;;;;;51;;;;;;;;39.6;;;;;;;
Sovet_Phederacii;;;;;;;;;;;;;;;;;;;;50;;;;;;50;;;;;48;;;;;49;;;;;49;;;;;48;;;;;;49;;;;;;48;;;45;;;;;;;47;;;;;;;;43.3;;;;;;;;;
